,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우,main_actors,개봉일_int,actor_involved,전국관객수
73,완득이,2011-10-20,5345000,0.0,38531506500,1048,5310976,5,77,한국,한국,"(주)유비유필름,어나더픽쳐스(주)",씨제이이앤엠(주),12세이상관람가,드라마,이한,"김윤석,유아인,김효숙,조병찬,조세현,정한진,강별,박효주,박종현,박진아,서대현,서왕석,김광섭,차선영,천영암,최명경,윤경호,전승엽,임정환,오희준,김신우,이경숙,이유나,이태영,김영재,조덕제,조상건,안길강,김상호,리우진,성유빈,박수영,김도영,김동영,신유람,김윤태","김윤석, 유아인, 김효숙",2011,True,582
74,저스트 프렌즈,2012-05-03,7359000,0.0,7359000,1038,1038,6,130,한국,한국,(주)맑음영화사,팝엔터테인먼트,15세이상관람가,멜로/로맨스,안철호,"오연서,강은우,이영훈,최재환,박인영,한태윤,정광섭,정승현,홍상욱,차순배","오연서, 강은우, 이영훈",2012,True,572
75,U.F.O.,2012-05-24,7023000,0.0,7658000,971,1098,11,235,한국,한국,스파이럴 프로젝트,㈜인디스토리,청소년관람불가,"드라마,미스터리",공귀현,"이주승,정영기,박상혁,임지혜,공귀현,공귀현,조대원,박지연,배지영,서은아,송해나,신세영,신재민,양정원","이주승, 정영기, 박상혁",2012,True,927
76,퍼스트 그레이더,2012-05-17,6197000,0.0,6197000,878,878,6,85,영국,"영국,미국,케냐",,골든타이드픽처스(주),12세이상관람가,드라마,저스틴 채드윅,"나오미 해리스,올리버 리톤도,샘 푸어","나오미 해리스, 올리버 리톤도, 샘 푸어",2012,True,878
77,트리 오브 라이프,2011-10-27,4446000,0.0,372002500,805,51818,3,34,미국,미국,,(주)에스비에스콘텐츠허브,15세이상관람가,드라마,테렌스 맬릭,"브래드 피트,피오나 쇼,숀 펜","브래드 피트, 피오나 쇼, 숀 펜",2011,True,215
78,리미트리스,2012-07-12,3438000,0.0,3438000,624,624,1,3,미국,미국,,팝엔터테인먼트,15세이상관람가,"미스터리,스릴러,액션",닐 버거,"브래들리 쿠퍼,애비 코니시,로버트 드 니로","브래들리 쿠퍼, 애비 코니시, 로버트 드 니로",2012,True,120914
79,마당을 나온 암탉,2011-07-28,2058500,0.0,14670284500,524,2201797,4,44,한국,한국,"(주)오돌또기 ,(주)명필름",롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,"오성윤,민성아","문소리,박철민,최민식,유승호,홍윤정,김한솔","문소리, 박철민, 최민식",2011,True,449
80,더 레이븐,2012-07-05,1818000,0.0,1818000,303,303,2,2,미국,"미국,헝가리,스페인",,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"스릴러,미스터리",제임스 맥티그,"존 쿠삭,루크 에반스,앨리스 이브,브렌단 글리슨,팸 페리스,애드리안 롤린스","존 쿠삭, 루크 에반스, 앨리스 이브",2012,True,153278
81,락 오브 에이지,2012-08-02,2368000,0.0,2368000,296,296,1,1,미국,미국,,워너브러더스 코리아(주),15세이상관람가,"뮤지컬,드라마",아담 쉥크만,"톰 크루즈,캐서린 제타-존스,알렉 볼드윈,폴 지아마티,말린 애커맨,줄리안 허프,디에고 보네타,러셀 브랜드","톰 크루즈, 캐서린 제타-존스, 알렉 볼드윈",2012,True,87915
82,헤이와이어,2012-07-05,1802000,0.0,1802000,286,286,2,3,미국,"미국,아일랜드",,씨너스엔터테인먼트(주),15세이상관람가,"액션,스릴러,미스터리,어드벤처,드라마",스티븐 소더버그,"이완 맥그리거,지나 카라노,마이클 패스벤더,채닝 테이텀,마이클 더글라스","이완 맥그리거, 지나 카라노, 마이클 패스벤더",2012,True,54511
83,나는 공무원이다,2012-07-12,2034000,0.0,2487000,226,297,1,1,한국,한국,마포필름,(주)넥스트엔터테인먼트월드(NEW),전체관람가,"코미디,드라마",구자홍,"윤제문,송하윤,성준,이충직,김희정","윤제문, 송하윤, 성준",2012,True,217493
84,가시,2012-03-08,1696500,0.0,2056500,216,276,1,25,한국,한국,한국영화아카데미,씨제이이앤엠(주),15세이상관람가,드라마,김중현,"엄태구,박세진,길해연,임학순,국경남,허서형,황동미,김영민,이재호,박창민","엄태구, 박세진, 길해연",2012,True,216
85,셋 업,2012-05-30,800000,0.0,800000,200,200,1,2,미국,미국,,(주)케이알씨지,청소년관람불가,"액션,범죄,스릴러",마이크 건서,"브루스 윌리스,센트,라이언 필립,제나 드완-타툼","브루스 윌리스, 센트, 라이언 필립",2012,True,100
86,그녀,2014-05-22,184000,0.0,184000,184,184,1,2,한국,한국,,한국예술종합학교 미디어콘텐츠센터,,"드라마,코미디,멜로/로맨스,가족",문성혁,"황정민,정희태,정환욱,김경미","황정민, 정희태, 정환욱",2014,True,296421
87,빅뱅,2012-06-28,400000,0.0,400000,100,100,1,1,미국,미국,,(주)케이알씨지,청소년관람불가,"미스터리,스릴러",토니 크란츠,"안토니오 반데라스,어텀 리저,토마스 크레취만,윌리엄 피츠너,시에나 길로리,딜로이 린도","안토니오 반데라스, 어텀 리저, 토마스 크레취만",2012,True,100
88,전쟁 주식회사,2012-03-29,400000,0.0,400000,100,100,1,1,미국,미국,,(유)조이앤컨텐츠그룹,청소년관람불가,"범죄,드라마",조슈아 세프텔,"존 쿠삭,조앤 쿠삭,힐러리 더프,마리사 토메이","존 쿠삭, 조앤 쿠삭, 힐러리 더프",2012,True,100
89,지알로,2012-06-14,400000,0.0,400000,100,100,1,1,미국,"미국,이탈리아",,(주)케이알씨지,청소년관람불가,"드라마,공포(호러)",다리오 아르젠토,"애드리언 브로디,엠마누엘 자이그너,엘자 패터키,로버트 미아노","애드리언 브로디, 엠마누엘 자이그너, 엘자 패터키",2012,True,100
90,끝과 시작,2013-04-04,632000,0.0,632000,75,75,1,2,한국,한국,"(주)수필름,데이지엔터테인먼트",롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"멜로/로맨스,드라마",민규동,"엄정화,황정민,김효진","엄정화, 황정민, 김효진",2013,True,38432
91,케빈에 대하여,2012-07-26,568000,0.0,4910500,71,581,1,1,영국,"영국,미국",,(주)티캐스트,청소년관람불가,"드라마,스릴러",린 램지,"틸다 스윈튼,이즈라 밀러,존 C. 레일리","틸다 스윈튼, 이즈라 밀러, 존 C. 레일리",2012,True,44582
92,비지터,2012-11-08,526000,0.0,5256500,69,564,1,4,미국,미국,,프리비젼엔터테인먼트,전체관람가,"드라마,코미디",토마스 맥카시,"리차드 젠킨스,하즈 슬레이만,다네이 거라이라,히암 압바스","리차드 젠킨스, 하즈 슬레이만, 다네이 거라이라",2012,True,10835
93,잠 못 드는 밤,2013-05-30,348000,0.0,348000,56,56,1,3,한국,한국,(주)모쿠슈라,㈜인디스토리,청소년관람불가,드라마,장건재,"김수현,김주령,이희성,정대용","김수현, 김주령, 이희성",2013,True,1978
94,바비,2012-10-25,166000,0.0,166000,23,23,1,3,한국,한국,(주)엘앤유인디컴미디어,(주)미로비젼,청소년관람불가,드라마,이상우,"이천희,김새론,김아론,정기철,정민우,정성룡,정우상,정재욱,정지민,최가현,최성우,김민수,최영진,이상우,이윤경,이정민,박경균,이강섭","이천희, 김새론, 김아론",2012,True,2340
95,도둑들,2012-07-25,93664808500,0.115,93664808500,12983178,12983178,1091,155392,한국,"한국,홍콩",(주)케이퍼필름,(주)쇼박스,15세이상관람가,"액션,범죄",최동훈,"김윤석,김혜수,이정재,전지현,임달화,김해숙,오달수,김수현,이심결,증국상,서영주,장동,장현문,정윤헌,조상원,한규석,홍원기,김영민,최덕문,최진호,장준녕(장남부),예수정,김영웅,이은채,손병욱","김윤석, 김혜수, 이정재",2012,True,12983178
96,"광해, 왕이 된 남자",2012-09-13,88899448769,0.109,88899448769,12319390,12319390,1001,203400,한국,한국,"리얼라이즈픽쳐스(주),씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,"사극,드라마",추창민,"이병헌,류승룡,한효주,장광,김인권,심은경,김명곤,서진원,장재현,정창국,조혜정,김남준,이수용,박윤호,김지수,박민규,박지아,송미정,양준모,원동연,김종구,주영호,이엘,전배수,이란희,최욱,이봉련,허성태,이양희,전국향,김승훈,권은수,승의열,김비비,한이진","이병헌, 류승룡, 한효주",2012,True,12319390
97,늑대소년,2012-10-31,46590107000,0.057,46590107000,6654390,6654390,854,109069,한국,한국,(주)영화사비단길,씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,드라마,판타지",조성희,"송중기,박보영,장영남,유연석,김향기,장서이,한민혁,이승주,최광락,오영석,차종호,이영란,유승목,서동수,김승훈,구교환,이민웅,남정희,정인겸","송중기, 박보영, 장영남",2012,True,6654390
98,다크 나이트 라이즈,2012-07-19,47644838000,0.059,47644838000,6396528,6396528,1210,81254,미국,"미국,영국",,워너브러더스 코리아(주),15세이상관람가,"액션,범죄,스릴러",크리스토퍼 놀란,"크리스찬 베일,게리 올드만,앤 해서웨이,톰 하디,조셉 고든 레빗","크리스찬 베일, 게리 올드만, 앤 해서웨이",2012,True,6396528
99,레미제라블,2012-12-19,23428605500,0.029,23428605500,3210107,3210107,696,33153,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,톰 후퍼,"휴 잭맨,러셀 크로우,앤 해서웨이,아만다 사이프리드,헬레나 본햄 카터","휴 잭맨, 러셀 크로우, 앤 해서웨이",2012,True,3210107
100,26년,2012-11-29,21111878145,0.026,21111878145,2940475,2940475,611,50044,한국,한국,영화사청어람(주),"(주)인벤트스톤,영화사청어람(주)",15세이상관람가,"액션,드라마",조근현,"진구,한혜진,임슬옹,배수빈,이경영,장광,천우희,이현걸,전종석,정광재,지성용,김병오,이상훈,이경영,정현진,이미도,조덕제,김의성,김도윤,김태준,김기천,이상훈,정희태,한사명,박서연","진구, 한혜진, 임슬옹",2012,True,2940475
101,내가 살인범이다,2012-11-08,20392266000,0.025,20392266000,2729798,2729798,547,58409,한국,한국,"(주)다세포클럽,(주)쇼박스",(주)쇼박스,청소년관람불가,"액션,스릴러",정병길,"정재영,박시후,최원영,김영애,정건영,장규미,장금단,권귀덕,정용견,정진근,금경배,김경석,최신호,최은애,강봉성,이상문,박윤호,이용희,박규범,백동현,서강호,오병호,유희원,윤봉철,배성우,손종학,한제인,최희진,장광,조은지,이봉련,백현주,류제승,김종구,차청화,한사명,남정희,김민상,김자금","정재영, 박시후, 최원영",2012,True,2721893
102,브레이킹 던 part2,2012-11-15,18909583065,0.023,18909583065,2654817,2654817,665,56995,미국,미국,,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"드라마,판타지,멜로/로맨스",빌 콘돈,"크리스틴 스튜어트,로버트 패틴슨,테일러 로트너,다코타 패닝","크리스틴 스튜어트, 로버트 패틴슨, 테일러 로트너",2012,True,2654817
103,호빗: 뜻밖의 여정,2012-12-13,21724069066,0.027000000000000003,21724069066,2605124,2605124,1028,44977,미국,"미국,뉴질랜드",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,판타지",피터 잭슨,"마틴 프리먼,이안 맥켈런,리차드 아미티지,케이트 블란쳇,크리스토퍼 리,일라이저 우드,앤디 서키스,휴고 위빙,베네딕트 컴버배치","마틴 프리먼, 이안 맥켈런, 리차드 아미티지",2012,True,2605124
104,이웃사람,2012-08-22,18088462369,0.022,18088462369,2434269,2434269,600,56752,한국,한국,"영화사 무쇠팔,플로우식스(주),자이온 이엔티(주),(주)누리픽쳐스,히트박스,(주)미스터로맨스",롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,스릴러,김휘,"김윤진,마동석,천호진,김성균,김새론,임하룡,장영남,도지한,차현우,김동현,한재훈,박인규,유재현,한성천,김미경,정인기,김기천,이장유","김윤진, 마동석, 천호진",2012,True,2434099
105,007 스카이폴,2012-10-26,17487213000,0.022,17487213000,2376145,2376145,748,51357,미국,"미국,영국",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,액션,샘 멘데스,"다니엘 크레이그,하비에르 바르뎀,주디 덴치,랄프 파인즈,나오미 해리스,베레니스 말로에","다니엘 크레이그, 하비에르 바르뎀, 주디 덴치",2012,True,2376145
106,테이큰 2,2012-09-27,17581098553,0.022,17581098553,2308596,2308596,682,51344,프랑스,프랑스,,이십세기폭스코리아(주),청소년관람불가,"액션,범죄,드라마",올리비에 메가턴,"리암 니슨,매기 그레이스,팜키 얀센,라드 세르베드지야","리암 니슨, 매기 그레이스, 팜키 얀센",2012,True,2308596
107,타워,2012-12-25,14658256500,0.018000000000000002,14658256500,2014589,2014589,617,22278,한국,한국,"씨제이이앤엠(주),(주)더타워픽쳐스",씨제이이앤엠(주),12세이상관람가,드라마,김지훈,"설경구,손예진,김상경,김인권,도지한,안성기,이한위,김성오,송재호,차인표,박철민,조민아,권현상,박정학,임경만,장혜리,조윤경,배진호,안용우,전배수,이창용,박영수,이주실,김수진,권태원,김응수,전국향,정인기","설경구, 손예진, 김상경",2012,True,2014589
108,나의 PS 파트너,2012-12-06,13548606616,0.017,13548606616,1786831,1786831,552,37625,한국,한국,나의PS파트너 문화산업전문회사,씨제이이앤엠(주),청소년관람불가,"멜로/로맨스,코미디",변성현,"지성,김아중,신소율,강경준,김성오,정수영,문지윤,김보미,지은,최은두,박준기,신해철,이미소,김보연,정종열,최교식,설창희","지성, 김아중, 신소율",2012,True,1778222
109,반창꼬,2012-12-19,12459852719,0.015,12459852719,1730535,1730535,466,26039,한국,한국,(주)영화사오름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,멜로/로맨스,정기훈,"고수,한효주,마동석,김성오,쥬니,진서연,장원종,전범희,전성환,전효선,조은비,조현우,김영웅,하정희,한제인,홍지원,박병렬,박이슬,송용운,정진영,조성현,조민기,안지혜","고수, 한효주, 마동석",2012,True,1726459
110,아이스 에이지 4: 대륙 이동설,2012-07-25,12291969704,0.015,12291969704,1648110,1648110,501,26899,미국,미국,,이십세기폭스코리아(주),전체관람가,"애니메이션,어드벤처,코미디,가족","스티브 마티노,마이크 트메이어","존 레귀자모,레이 로마노,데니스 리어리,퀸 라티파,제니퍼 로페즈","존 레귀자모, 레이 로마노, 데니스 리어리",2012,True,1648070
111,공모자들,2012-08-29,12240964500,0.015,12240964500,1646142,1646142,496,44959,한국,한국,(주)영화사채움,"씨너스엔터테인먼트(주),타임스토리그룹(주)",청소년관람불가,"범죄,스릴러",김홍선,"임창정,최다니엘,오달수,조윤희,조달환,정지윤,최일화,박일목,임향주,권태호,최은용,최지향,박승명,오상진,라미란,김재화,손종학,김규선,공정환,허준석","임창정, 최다니엘, 오달수",2012,True,1646142
