,title,director,producer,importer,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,aud_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,director_movie_num,sequel,original,actor_power
64,아메리칸 셰프,존 파브로,,(주)누리픽쳐스,(주)영화사 진진,D,1/7/2015,winter,개봉영화,장편,미국,111,1240660929.0,151833,787266129,95079,코미디,15세이상관람가,독립/예술영화,6.25,"존 파브로,엠제이 안소니,소피아 베르가라",114,8.85106383,94,2015,4889524.0,3 [3],1,0,910998
65,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,타카하시 와타루,,대원미디어(주),(주)이수C&E,B,4/23/2015,spring,개봉영화,장편,일본,372,1085388600.0,150226,171433200,22562,애니메이션,전체관람가,일반영화,7.0,"야지마 아키코,나라하시 미키,후지와라 케이지",97,8.573333332999999,75,2015,966278.0,3 [3],1,1,1637014
66,워킹걸,정범식,"(주)홍필름,(주)수필름",,메가박스중앙(주)플러스엠,A,1/7/2015,winter,개봉영화,장편,한국,308,1183887479.0,149181,389163479,49874,코미디,청소년관람불가,일반영화,3.75,"조여정,클라라,김태우",112,7.203703704,108,2015,3798104.0,2 [2],1,0,54763704
67,은밀한 유혹,윤재구,"(주)영화사비단길,(주)수필름",,씨제이이앤엠(주),A,6/4/2015,summer,개봉영화,장편,한국,394,1112273247.0,142375,353352647,43475,멜로/로맨스,15세이상관람가,일반영화,3.71,"임수정,유연석",110,7.275,80,2015,142375.0,1 [1],1,0,28589248
68,화장,임권택,(주)명필름,,(주)리틀빅픽쳐스,D,4/9/2015,spring,개봉영화,장편,한국,327,1059405100.0,140616,338077900,43757,드라마,청소년관람불가,독립/예술영화,6.78,"안성기,김규리,김호정",94,7.6363636360000005,44,2015,140616.0,1 [1],1,0,35859183
69,워터 디바이너,러셀 크로우,,(주)더블앤조이픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,A,1/28/2015,winter,개봉영화,장편,미국,326,1008818235.0,136134,315480635,42375,드라마,15세이상관람가,일반영화,5.9,"러셀 크로우,올가 쿠릴렌코,제이 코트니",111,8.166666667000001,42,2015,136134.0,1 [1],1,0,36960510
70,눈의 여왕 2: 트롤의 마법거울,알렉세이 트시칠린,,(주)시네마리퍼블릭,씨네그루(주)다우기술,B,12/24/2014,winter,개봉영화,장편,기타,479,859030900.0,120278,171264600,22406,애니메이션,전체관람가,독립/예술영화,0.0,"벨라 손,샬토 코플리",78,7.260797342,602,2014,2017230.0,3 [3],1,1,13401497
71,19곰 테드 2,세스 맥팔레인,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),B,6/25/2015,summer,개봉영화,장편,미국,297,961888700.0,119518,378111600,45161,코미디,청소년관람불가,일반영화,5.0,"마크 월버그,아만다 사이프리드,세스 맥팔레인",115,8.293233082999999,133,2015,403465.0,1 [1],0,1,42722646
72,나의 절친 악당들,임상수,"휠므빠말주식회사,이십세기폭스 인터내셔널 프로덕션",,이십세기폭스코리아(주),B,6/25/2015,summer,개봉영화,장편,한국,384,921337864.0,116444,298390064,35949,범죄,청소년관람불가,일반영화,5.5,"류승범,고준희,류현경",110,5.9,80,2015,1281925.0,1 [1],0,0,54661329
73,존 윅,"데이빗 레이치,채드 스타헬스키",,"(유)조이앤시네마,(유)조이앤컨텐츠그룹","(주)제이앤씨미디어그룹,(주)나이너스엔터테인먼트",D,1/21/2015,winter,개봉영화,장편,미국,321,925995637.0,116119,338434537,41631,액션,청소년관람불가,일반영화,6.05,"키아누 리브스,미카엘 니크비스트",107,7.644067797000001,59,2015,13621196.0,"7 [4, 3]",0,0,2628521
