,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
126,하트 오브 더 씨,론 하워드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-12-03,개봉영화,장편,미국,535,6776484023,809327,2010066023,226889,액션,12세이상관람가,일반영화
127,헝거게임: 더 파이널,프란시스 로렌스,라이온스 게이트 필름즈,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2015-11-18,개봉영화,장편,미국,661,6069167163,806520,2030631445,257764,액션,15세이상관람가,일반영화
128,픽셀,크리스 콜럼버스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-07-16,개봉영화,장편,미국,557,5390909947,681945,1644960347,195473,액션,12세이상관람가,일반영화
129,열정같은소리하고있네,정기훈,반짝반짝영화사(주),,(주)넥스트엔터테인먼트월드(NEW),2015-11-25,개봉영화,장편,한국,566,4758959902,654102,1349304002,176766,드라마,15세이상관람가,일반영화
130,특종: 량첸살인기,노덕,"(주)우주필름,(주)뱅가드스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2015-10-22,개봉영화,장편,한국,776,4754763118,616481,1319649718,165767,스릴러,15세이상관람가,일반영화
131,서부전선,천성일,(주)하리마오픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2015-09-24,개봉영화,장편,한국,509,4751661400,609063,1045890400,128610,전쟁,12세이상관람가,일반영화
132,극장판 요괴워치: 탄생의 비밀이다냥!,"타카하시 시게하루,우시로 신지",,씨제이이앤엠(주),씨제이이앤엠(주),2015-07-22,개봉영화,장편,일본,509,3886775100,550728,601746400,82667,애니메이션,전체관람가,일반영화
133,명탐정 코난 : 화염의 해바라기,시즈노 코분,,씨제이이앤엠(주),씨제이이앤엠(주),2015-08-05,개봉영화,장편,일본,433,3294096400,470990,578757300,80798,애니메이션,전체관람가,일반영화
134,"협녀, 칼의 기억",박흥식,(주)티피에스컴퍼니,,롯데쇼핑㈜롯데엔터테인먼트,2015-08-13,개봉영화,장편,한국,572,3360045489,431310,999537689,123013,사극,15세이상관람가,일반영화
135,어린왕자,마크 오스본,,와이즈앤와이드엔터테인먼트(주),씨네그루(주)다우기술,2015-12-23,개봉영화,장편,프랑스,494,3195586794,428855,990648100,126883,애니메이션,전체관람가,독립/예술영화
136,오피스,홍원찬,(주)영화사꽃,,(주)리틀빅픽쳐스,2015-09-03,개봉영화,장편,한국,425,3354086230,428429,801709530,97876,스릴러,15세이상관람가,일반영화
137,판타스틱 4,조쉬 트랭크,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-08-20,개봉영화,장편,미국,451,3029310600,399667,820859100,103173,액션,12세이상관람가,일반영화
138,뽀로로 극장판 컴퓨터 왕국 대모험,박영균,(주)오콘,,(주)넥스트엔터테인먼트월드(NEW),2015-12-10,개봉영화,장편,한국,544,2902090600,391760,575104900,73250,애니메이션,전체관람가,일반영화
139,치외법권,신동엽,"(주)유니프로,(주)스톰픽쳐스코리아",,판씨네마(주),2015-08-27,개봉영화,장편,한국,446,2664941005,346483,586388005,72126,액션,15세이상관람가,일반영화
140,에베레스트,발타자르 코루마쿠르,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-09-24,개봉영화,장편,미국,331,3055119748,332180,1071862248,107240,어드벤처,12세이상관람가,일반영화
141,극적인 하룻밤,하기호,"(주)연우무대,(주)인사이드픽쳐스",,CGV아트하우스,2015-12-03,개봉영화,장편,한국,434,2604823429,320166,772969829,91640,멜로/로맨스,청소년관람불가,일반영화
142,뮨: 달의 요정,"알렉상드르 헤보얀,베노이트 필립폰",,(주)스마일이엔티,씨네그루(주)다우기술,2015-09-24,개봉영화,장편,프랑스,365,2331900700,319072,474814300,62132,애니메이션,전체관람가,독립/예술영화
143,도리화가,이종필,"(주)영화사 담담,(주)어바웃필름",,씨제이이앤엠(주),2015-11-25,개봉영화,장편,한국,563,2246950339,317505,697116939,91714,사극,12세이상관람가,일반영화
144,스파이 브릿지,스티븐 스필버그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-11-05,개봉영화,장편,미국,425,2013736478,260518,720622378,89815,스릴러,12세이상관람가,일반영화
145,함정,권형진,(주)데이드림,,(주)인벤트스톤,2015-09-10,개봉영화,장편,한국,445,2088685200,257716,411417600,50477,스릴러,청소년관람불가,일반영화
146,하늘을 걷는 남자,로버트 저메키스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-10-28,개봉영화,장편,미국,415,2267273653,238257,910722153,92402,드라마,12세이상관람가,일반영화
147,조선마술사,김대승,위더스필름(주),,롯데쇼핑㈜롯데엔터테인먼트,2015-12-30,개봉영화,장편,한국,607,1506449794,224657,374861400,54705,드라마,12세이상관람가,일반영화
148,괴물의 아이,호소다 마모루,,(주)얼리버드픽쳐스,"CGV아트하우스,(주)리틀빅픽쳐스",2015-11-25,개봉영화,장편,일본,363,1652580816,223216,541973716,70050,애니메이션,12세이상관람가,일반영화
149,포켓몬 더 무비 XY 후파: 광륜의 초마신,유야마 쿠니히코,,(주)포켓몬코리아,(주)이수C&E,2015-12-23,개봉영화,장편,일본,360,1528041500,214284,295370500,40396,애니메이션,전체관람가,일반영화
150,팬,조 라이트,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-10-08,개봉영화,장편,미국,428,1422971592,185960,436454392,53867,판타지,전체관람가,일반영화
151,더 셰프,존 웰스,,(주)누리픽쳐스,(주)이수C&E,2015-11-05,개봉영화,장편,미국,409,1466464148,184469,626752148,76329,드라마,15세이상관람가,일반영화
152,레전드,브라이언 헬겔랜드,,(주)퍼스트런,(주)이수C&E,2015-12-10,개봉영화,장편,프랑스,449,1436348930,179738,508529730,61257,액션,청소년관람불가,일반영화
153,아메리칸 울트라,니마 누리자데,,(주)누리픽쳐스,씨제이이앤엠(주),2015-08-27,개봉영화,장편,미국,341,1301387295,161382,468332595,56452,액션,청소년관람불가,일반영화
154,트랜스포터: 리퓰드,카밀 들라마레,,(주)에이블엔터테인먼트,씨네그루(주)다우기술,2015-10-15,개봉영화,장편,프랑스,432,1263319115,161245,335757915,41198,액션,15세이상관람가,일반영화
155,내부자들: 디 오리지널,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015-12-31,개봉영화,장편,한국,838,1236787715,160148,354754600,45551,범죄,청소년관람불가,일반영화
156,스누피: 더 피너츠 무비,스티브 마티노,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-12-24,개봉영화,장편,미국,348,1194012100,156376,372875400,46773,애니메이션,전체관람가,일반영화
157,우먼 인 골드,사이먼 커티스,,(주)에이블엔터테인먼트,(주)팝엔터테인먼트,2015-07-09,개봉영화,장편,미국,252,1096192800,142456,571626200,71829,드라마,12세이상관람가,독립/예술영화
158,시카리오: 암살자의 도시,드니 빌뇌브,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-12-03,개봉영화,장편,미국,227,1128148952,139767,513099552,62256,범죄,청소년관람불가,독립/예술영화
159,러브 라이브! 더 스쿨 아이돌 무비,쿄고쿠 타카히코,,(주)애니플러스,(주)박수엔터테인먼트,2015-09-03,개봉영화,장편,일본,66,908579000,122574,419577000,55550,애니메이션,전체관람가,일반영화
160,퇴마: 무녀굴,김휘,"(주)케이프로덕션,플로우식스(주),버티고필름",,씨네그루(주)다우기술,2015-08-20,개봉영화,장편,한국,331,951843500,120802,238138900,29025,공포(호러),15세이상관람가,일반영화
161,극장판 도라에몽 : 진구의 우주영웅기~스페이스 히어로즈~,오오스기 요시히로,,대원미디어(주),(주)와우픽쳐스,2015-09-17,개봉영화,장편,일본,351,816868100,113404,155568500,20865,애니메이션,전체관람가,일반영화
162,미라클 벨리에,에릭 라티고,,(주)영화사 진진,(주)영화사 진진,2015-08-27,개봉영화,장편,프랑스,245,857214018,112121,413015318,52179,드라마,12세이상관람가,독립/예술영화
163,셀프/리스,타셈 싱,,블루미지,(주)이수C&E,2015-09-10,개봉영화,장편,미국,340,874447764,111127,292812964,35675,SF,15세이상관람가,일반영화
164,맨 프롬 UNCLE,가이 리치,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-10-28,개봉영화,장편,미국,361,846390353,108551,337263353,41417,액션,12세이상관람가,일반영화
165,프리덤,피터 쿠센스,,"(재)CBS,SOKOR MEDIA",주식회사 마운틴픽쳐스,2015-11-19,개봉영화,장편,미국,117,736220100,106030,141849400,18198,드라마,12세이상관람가,독립/예술영화
166,돌연변이,권오광,영화사 우상,,필라멘트픽쳐스,2015-10-22,개봉영화,장편,한국,399,748816684,100523,196277284,24547,드라마,12세이상관람가,일반영화
167,극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,와타나베 카츠야,,대원미디어(주),"(주)스마일이엔티,(주)영화사오원",2015-11-26,개봉영화,장편,일본,344,730895500,100026,140786100,18423,액션,전체관람가,일반영화
168,맥베스,저스틴 커젤,,판씨네마(주),판씨네마(주),2015-12-03,개봉영화,장편,영국,141,711589153,93534,367176753,46313,드라마,15세이상관람가,독립/예술영화
169,더 매직: 리틀톰과 도둑공주,어네스토 파드롱,,(주)올스타엔터테인먼트,"㈜코리아스크린,와이드 릴리즈(주)",2015-09-24,개봉영화,장편,스페인,193,653636700,89358,152376100,20244,애니메이션,전체관람가,독립/예술영화
170,사우스포,안톤 후쿠아,,(주)스마일이엔티,씨네그루(주)다우기술,2015-12-03,개봉영화,장편,미국,335,649386248,87426,210497148,26835,드라마,15세이상관람가,일반영화
171,갤로우즈,"트래비스 클러프,크리스 로핑",,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-09-03,개봉영화,장편,미국,299,674767406,87301,144252106,17990,공포(호러),15세이상관람가,일반영화
172,숀더쉽,"마크 버튼,리처드 스타잭",,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2015-08-13,개봉영화,장편,영국,263,592435000,85568,144352300,19454,애니메이션,전체관람가,독립/예술영화
173,지금은맞고그때는틀리다,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)넥스트엔터테인먼트월드(NEW)",2015-09-24,개봉영화,장편,한국,59,658072600,79840,457233200,53802,드라마,청소년관람불가,독립/예술영화
174,쓰리 썸머 나잇,김상진,"더램프(주),㈜감독의집",,"(주)리틀빅픽쳐스,(주)인벤트스톤",2015-07-15,개봉영화,장편,한국,297,616132846,77621,185973246,22302,코미디,청소년관람불가,일반영화
175,러덜리스,윌리엄 H. 머시,,그린나래미디어(주),그린나래미디어(주),2015-07-09,개봉영화,장편,미국,117,602152720,76343,328229620,40262,코미디,12세이상관람가,독립/예술영화
176,다크 플레이스,질스 파겟-브레너,,(주)누리픽쳐스,"(주)스톰픽쳐스코리아,주식회사 우리네트웍스",2015-07-15,개봉영화,장편,미국,268,530282654,66075,236400854,28454,드라마,청소년관람불가,일반영화
177,보루토 - 나루토 더 무비,야마시타 히로유키,,애니박스 엔터테인먼트,와이드 릴리즈(주),2015-12-10,개봉영화,장편,일본,219,475552400,63954,134933800,17676,애니메이션,12세이상관람가,일반영화
178,히트맨: 에이전트 47,알렉산더 바흐,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-09-03,개봉영화,장편,미국,272,492878500,63073,134566400,16556,액션,15세이상관람가,일반영화
179,아더와 미니모이 3: 두 세계의 전쟁,뤽 베송,,(주)영화사오원,(주)라이크 콘텐츠,2015-11-05,개봉영화,장편,프랑스,267,431890800,61046,59116300,7826,애니메이션,전체관람가,일반영화
180,주온: 더 파이널,오치아이 마사유키,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-10-01,개봉영화,장편,일본,318,461765400,60981,101256000,13046,공포(호러),15세이상관람가,일반영화
181,파더 앤 도터,가브리엘 무치노,,(주)에이블엔터테인먼트,(주)박수엔터테인먼트,2015-12-10,개봉영화,장편,미국,352,445586100,58487,165809100,20716,드라마,15세이상관람가,일반영화
182,대니 콜린스,댄 포겔맨,,(주)나이너스엔터테인먼트,"(주)나이너스엔터테인먼트,(주)지어소프트",2015-09-30,개봉영화,장편,미국,309,426338305,56515,198998405,25288,드라마,15세이상관람가,독립/예술영화
183,고녀석 맛나겠다2 : 함께라서 행복해,"최경석,노나카 카즈미",(주)미디어캐슬,,(주)리틀빅픽쳐스,2015-07-29,개봉영화,장편,한국,142,384464000,55619,115174700,16105,애니메이션,전체관람가,독립/예술영화
184,더 랍스터,요르고스 란티모스,,(주)콘텐츠게이트,"(주)영화사오원,(주)브리즈픽처스",2015-10-29,개봉영화,장편,영국,75,457244300,55396,333744400,39310,판타지,청소년관람불가,독립/예술영화
185,개구리왕국,넬슨 신,,예지림엔터테인먼트,예지림엔터테인먼트,2015-11-12,개봉영화,장편,중국,227,362895100,53576,49823200,6590,애니메이션,전체관람가,일반영화
186,이웃집에 신이 산다,자코 반 도마엘,,(주)엣나인필름,(주)엣나인필름,2015-12-24,개봉영화,장편,벨기에,73,420127300,53233,213145300,26012,코미디,청소년관람불가,독립/예술영화
187,더 비지트,M. 나이트 샤말란,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-10-15,개봉영화,장편,미국,279,403435581,52197,125714081,15652,스릴러,15세이상관람가,일반영화
188,바닷마을 다이어리,고레에다 히로카즈,,(주)티캐스트,(주)티캐스트,2015-12-17,개봉영화,장편,일본,67,414846984,51711,282189884,33988,드라마,12세이상관람가,독립/예술영화
189,미안해 사랑해 고마워,전윤수,타임박스엔터테인먼트(주),,(주)쇼박스,2015-10-28,개봉영화,장편,한국,344,359247800,51207,106619300,14482,드라마,15세이상관람가,일반영화
190,비밀,"박은경,이동하","영화사 도로시(주),(주)에스에이치기획",,CGV아트하우스,2015-10-15,개봉영화,장편,한국,305,369339300,50196,94697600,12167,미스터리,15세이상관람가,일반영화
191,라스트 위치 헌터,브렉 에이즈너,,(유)조이앤시네마,TCO(주)더콘텐츠온,2015-12-30,개봉영화,장편,미국,278,345219000,49558,100113600,14093,액션,15세이상관람가,일반영화
192,스트레이트 아웃 오브 컴턴,F. 게리 그레이,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-09-10,개봉영화,장편,미국,185,412749800,48844,235536700,27135,드라마,청소년관람불가,일반영화
