영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
빅 웨딩,저스틴 잭햄,,(주)뮤제엔터테인먼트,(주)나이너스엔터테인먼트,2013-06-27,개봉영화,장편,미국,166,151123500,21371,87505000,12066,멜로/로맨스,청소년관람불가,일반영화
아기기린 자라파,"레미 베잔송,장-클리스토페 리에",,(주)유니코리아문예투자,롯데쇼핑㈜롯데엔터테인먼트,2013-02-14,개봉영화,장편,프랑스,87,133077000,20811,36139500,5336,애니메이션,전체관람가,일반영화
플라이트,로버트 저메키스,파라마운트 픽쳐스,씨제이이앤엠(주),씨제이이앤엠(주),2013-02-28,개봉영화,장편,미국,79,150391500,20491,84781500,11107,드라마,청소년관람불가,일반영화
테이크다운,에란 크리비,,크리스리픽쳐스인터내셔널(주),(주)에스비에스콘텐츠허브,2013-04-18,개봉영화,장편,영국,138,135780500,19415,45801500,6265,액션,15세이상관람가,독립/예술영화
부도리의 꿈,스기이 기사부로,,(주)미디어캐슬,(주)나이너스엔터테인먼트,2013-01-30,개봉영화,장편,일본,117,123582500,18940,33420500,4718,애니메이션,전체관람가,일반영화
셰임,스티브 맥퀸,,㈜영화사 백두대간,㈜영화사 백두대간,2013-05-09,개봉영화,장편,영국,34,132908500,17547,93229500,11876,드라마,청소년관람불가,독립/예술영화
홀리 모터스,레오스 카락스,,오드,오드,2013-04-04,개봉영화,장편,프랑스,34,133387400,17192,103452900,12829,드라마,청소년관람불가,독립/예술영화
월플라워,스티븐 크보스키,,데이지엔터테인먼트,데이지엔터테인먼트,2013-04-11,개봉영화,장편,미국,28,115118400,16106,71759400,9768,드라마,15세이상관람가,독립/예술영화
데드폴,스테판 루조비츠키,,(주)유니코리아문예투자,(주)에스비에스콘텐츠허브,2013-01-23,개봉영화,장편,미국,82,101887000,14744,45079000,6658,범죄,청소년관람불가,일반영화
이별계약,오기환,씨제이이앤엠(주),,씨제이이앤엠(주),2013-06-20,개봉영화,장편,한국,63,106761500,14624,67812000,9069,멜로/로맨스,12세이상관람가,일반영화
앤젤스 셰어: 천사를 위한 위스키,켄 로치,,(주)티캐스트,(주)티캐스트,2013-05-16,개봉영화,장편,영국,21,114054500,14567,94693000,11502,코미디,15세이상관람가,독립/예술영화
공정사회,이지승,시네마팩토리,,(주)엣나인필름,2013-04-18,개봉영화,장편,한국,37,97348000,14461,38234500,5377,드라마,청소년관람불가,독립/예술영화
터치 오브 라이트,장영치,,"(주)메인타이틀픽쳐스,영화사 마농(주)",씨너스엔터테인먼트(주),2013-03-14,개봉영화,장편,대만,128,94716000,14323,59967000,9098,드라마,전체관람가,독립/예술영화
피치 퍼펙트,제이슨 무어,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-03-28,개봉영화,장편,미국,143,90720000,13520,33990000,4972,코미디,15세이상관람가,일반영화
사랑은 타이핑 중!,레지스 르왕사르,,판씨네마(주),판씨네마(주),2013-05-22,개봉영화,장편,프랑스,114,87577561,12976,48072061,7004,멜로/로맨스,15세이상관람가,독립/예술영화
새 구두를 사야해,키타가와 에리코,,(주)영화사 진진,(주)영화사 진진,2013-04-25,개봉영화,장편,일본,25,92332000,12845,67185500,9052,멜로/로맨스,12세이상관람가,독립/예술영화
콰르텟,더스틴 호프만,,㈜영화사 백두대간,㈜영화사 백두대간,2013-03-28,개봉영화,장편,영국,37,89412000,12609,63401000,8505,코미디,12세이상관람가,독립/예술영화
