,전국스크린수,전국관객수,expert_rating,running_times,audience_rating,rating_audiences,director_power
414,598,501286,4.5,103,8.005361930294907,373,564800.0
415,590,475309,0.0,106,8.291071428571428,560,475310.0
416,647,459421,5.67,103,7.9071428571428575,420,21706.0
417,448,448826,6.75,127,9.454810495626823,343,605498.0
418,613,433825,5.71,131,8.794642857142858,560,433825.0
419,570,429569,0.0,72,8.977353992848629,839,1288707.0
420,607,427764,7.0,89,8.644,750,905037.0
421,588,412843,5.25,126,8.327044025157234,159,1042788.0
422,621,383336,5.86,121,8.617391304347828,460,383336.0
423,526,366442,0.0,90,8.393939393939394,561,2017230.0
424,566,355913,5.67,115,7.361739130434782,575,355913.0
425,576,351276,5.9,97,8.030211480362539,662,351276.0
426,539,350129,4.67,109,8.382857142857143,525,4218513.0
427,542,324420,6.0,110,8.513994910941474,393,324420.0
428,250,276379,7.0,122,8.647058823529411,34,1577296.0
429,466,272736,7.6,129,8.811145510835914,646,279898.0
430,970,255180,2.67,137,4.455172413793104,435,255180.0
431,532,232016,6.0,114,8.589655172413794,290,232016.0
432,434,201365,0.0,89,8.943722943722943,231,604097.0
433,435,189620,2.25,118,7.874659400544959,367,597025.0
434,442,177601,6.0,139,9.198776758409783,327,177601.0
435,173,177483,7.89,111,8.374468085106383,235,177483.0
436,419,159948,6.2,146,7.563775510204081,392,159948.0
437,497,149719,3.25,117,7.102189781021898,137,322164.0
438,427,148760,6.67,106,8.748837209302325,215,148760.0
439,231,141592,6.0,80,0.0,0,424776.0
440,215,128472,0.0,95,0.0,0,3213932.0
441,495,126384,6.0,121,9.046511627906977,129,126384.0
442,454,124601,4.71,100,8.642105263157895,190,124663.0
443,393,124112,0.0,89,8.472527472527473,91,127181.0
444,334,119197,0.0,96,8.816964285714286,224,966278.0
445,124,117401,0.0,120,9.276478679504814,727,117401.0
446,393,116851,6.78,96,7.516129032258066,248,122038.0
447,234,115561,5.5,78,9.441176470588236,68,346683.0
448,198,108730,0.0,78,0.0,0,108730.0
449,461,102170,3.0,101,8.137362637362637,182,102170.0
450,433,100021,6.5,107,8.810344827586208,232,915475.0
451,205,98660,6.5,118,9.318181818181818,22,0.0
452,358,96462,4.5,77,8.26056338028169,284,96462.0
453,342,94750,7.0,159,8.89090909090909,110,809305.0
454,276,82177,6.0,132,9.20253164556962,79,82177.0
455,140,78930,4.67,116,8.440677966101697,59,1088390.0
456,167,72926,0.0,57,8.269841269841269,63,1206342.0
457,396,72849,4.0,132,8.492537313432836,67,72849.0
458,479,72495,6.5,124,8.221518987341772,158,605273.0
459,375,66074,5.0,133,9.025316455696204,158,915475.0
460,169,65910,3.67,110,0.0,0,65910.0
461,96,62033,0.0,91,9.663636363636364,110,62033.0
462,145,60935,0.0,68,8.287234042553191,188,1206342.0
463,319,58384,0.0,84,8.74074074074074,27,834015.0
464,133,56907,7.63,101,7.7264957264957275,234,459722.0
465,390,56108,5.5,101,7.761904761904763,42,168324.0
466,109,53779,7.78,137,8.859649122807017,57,53779.0
467,111,49479,7.33,120,8.766742338251987,5286,9676939.0
468,104,48051,6.83,132,9.2,5,48051.0
